CPT_Si_c600_wl;CPT_Si_c600;CPT_InGaAs_c800_wl;CPT_InGaAs_c800;CPT_InGaAs_c1000_wl;CPT_InGaAs_c1000;CPT_InGaAs_c1200_wl;CPT_InGaAs_c1200;CPT_InGaAs_c1400_wl;CPT_InGaAs_c1400;Uni_Si_c600_wl;Uni_Si_c600;Uni_InGaAsi_c700_wl;Uni_InGaAsi_c700;Uni_InGaAsi_c900_wl;Uni_InGaAsi_c900;Uni_InGaAsi_c1100_wl;Uni_InGaAsi_c1100;Uni_InGaAsi_c1300_wl;Uni_InGaAsi_c1300;Fluorimeter_wl;Fluorimeter
-188.96044;-6.87324976981183E-24;421.91687;3.70336596306264E-23;622.31061;6.82296643380292E-23;822.71417;7.62197081040951E-23;1023.1276;2.83512080864909E-22;3.512379900000000248e+02;3.528427878744504892e-03;5.018663900000000240e+02;1.351981968528860080e-02;6.019906300000000101e+02;9.369339498049113202e-02;7.547677599999999529e+02;2.831530294514110757e-01;9.555188000000000557e+02;9.661020009840582956e-01;285;0.00943
-187.41637;1.69817368093191E-23;423.4003;2.56574769767493E-23;623.79254;7.01252570854656E-23;824.19464;7.73680953422766E-23;1024.6066;2.87337638388154E-22;3.526523799999999937e+02;5.070266651293328652e-03;5.032246999999999844e+02;1.441999322545144124e-02;6.033478999999999814e+02;9.424729893064073827e-02;7.561233399999999847e+02;2.843816427563883309e-01;9.568721199999999953e+02;9.662185945881474058e-01;286;0.0083
-185.8723;3.7380695991383E-23;424.8837;3.21777177519057E-23;625.27448;6.86860125008698E-23;825.67505;7.68766674004541E-23;1026.0854;2.80974887645227E-22;3.540667500000000132e+02;6.612105423842153280e-03;5.045830000000000268e+02;1.532016676561428169e-02;6.047051599999999780e+02;9.480120288079035840e-02;7.574788999999999533e+02;2.856102560613656416e-01;9.582254100000000108e+02;9.663351881922369602e-01;287;0.0087
-184.32822;7.56603496134494E-23;426.3671;2.42055814809829E-23;626.75641;7.00084742851793E-23;827.15546;7.86795854857533E-23;1027.5643;2.87190248588734E-22;3.554811100000000010e+02;8.144543473754151108e-03;5.059412800000000061e+02;1.622034030577712213e-02;6.060624000000000251e+02;9.535510683093996465e-02;7.588344499999999471e+02;2.868388693663428968e-01;9.595787000000000262e+02;9.670604630562814608e-01;288;0.01024
-182.78414;-1.22141574122737E-23;427.85049;1.71328822051447E-23;628.23834;6.93906824362202E-23;828.63593;7.57305902135937E-23;1029.0432;2.77022373282619E-22;3.568954600000000141e+02;8.480952436066288916e-03;5.072995500000000106e+02;1.712051384593996431e-02;6.074196299999999837e+02;9.590901078108957090e-02;7.601899799999999914e+02;2.880674826713201520e-01;9.609319699999999784e+02;9.684815758045512979e-01;289;0.00738
-181.24005;7.08953226487567E-24;429.33389;3.24418205832604E-23;629.72028;7.07286087157624E-23;830.11633;7.88859036237723E-23;1030.522;2.85946426550784E-22;3.583097799999999893e+02;7.489933270464287952e-03;5.086578000000000088e+02;1.802068738610280302e-02;6.087768499999999676e+02;9.646291473123919102e-02;7.615454999999999472e+02;2.892960959762974071e-01;9.622852199999999812e+02;9.686873662195873980e-01;290;0.00978
-179.69596;4.74433469864778E-23;430.81729;3.40525423473844E-23;631.20221;7.21932928145003E-23;831.59674;7.73628730566516E-23;1032.0009;2.78753053259335E-22;3.597240899999999897e+02;8.741260161446650148e-03;5.100160300000000007e+02;1.892086092626564520e-02;6.101340400000000272e+02;9.701681868138879727e-02;7.629010100000000421e+02;2.905247092812747178e-01;9.636384500000000344e+02;9.713368744897746820e-01;291;0.01154
-178.15187;6.18506350493151E-23;432.30069;4.36993430727072E-23;632.68414;7.27198789191317E-23;833.07715;8.07069430597386E-23;1033.4797;2.84933071975743E-22;3.611383799999999837e+02;8.828363859280090320e-03;5.113742399999999861e+02;1.982103446642849778e-02;6.114912299999999732e+02;9.757072263153844516e-02;7.642564899999999852e+02;2.917533225862520840e-01;9.649916799999999739e+02;9.748801680413015092e-01;292;0.01445
-176.60777;-1.05303367852877E-23;433.78409;3.90015267236076E-23;634.16602;7.25048825577826E-23;834.55756;7.89067005030794E-23;1034.9586;2.77535491084757E-22;3.625526600000000030e+02;8.259399019050737284e-03;5.127324399999999969e+02;2.034669815596706205e-02;6.128483899999999949e+02;9.798730819403309034e-02;7.656119700000000421e+02;2.926070573279028753e-01;9.663448799999999892e+02;9.777577082284462096e-01;293;0.01592
-175.06367;1.32027923300727E-23;435.26746;2.81860785988568E-23;635.64795;7.30106989564367E-23;836.03796;8.1848683546975E-23;1036.4375;2.8471264928763E-22;3.639669200000000160e+02;7.488534546245142684e-03;5.140906199999999444e+02;2.093133662031852402e-02;6.142055500000000166e+02;9.850565544374992322e-02;7.669674300000000358e+02;2.938334035161073166e-01;9.676980700000000297e+02;9.791536282240012046e-01;294;0.01492
